,Date,Open,Close,High,Low,Volume,S&P500,PeRatio,PsRatio,PbRatio,EnterpriseValueRevenueRatio,EnterpriseValueEDITDARatio,BasicEPS
155,2013-12-13,20.101786,19.801071,20.102858,19.77393,332822000,1775.32,11.886,2.649,3.475,10.756,34.119,0.297
156,2013-12-16,19.822144,19.910713,20.094286,19.821787,282592800,1786.54,11.886,2.649,3.475,10.756,34.119,0.297
157,2013-12-17,19.850357,19.821072,19.98,19.763571,229902400,1781.0,11.886,2.649,3.475,10.756,34.119,0.297
158,2013-12-18,19.632143,19.670357,19.694643,19.242857,565863200,1810.65,11.886,2.649,3.475,10.756,34.119,0.297
159,2013-12-19,19.625,19.445,19.642857,19.418928,320308800,1809.6,11.886,2.649,3.475,10.756,34.119,0.297
160,2013-12-20,19.479643,19.607857,19.700357,19.457857,436413600,1818.32,11.886,2.649,3.475,10.756,34.119,0.297
161,2013-12-23,20.285713,20.360357,20.382856,20.098572,501306400,1827.99,11.886,2.649,3.475,10.756,34.119,0.297
162,2013-12-24,20.353214,20.27393,20.424286,20.215357,167554800,1833.32,11.886,2.649,3.475,10.756,34.119,0.297
163,2013-12-26,20.289286,20.139286,20.339287,20.120714,204008000,1842.02,11.886,2.649,3.475,10.756,34.119,0.297
164,2013-12-27,20.136429,20.003214,20.157499,19.982143,225884400,1841.4,11.886,2.649,3.475,10.756,34.119,0.297
165,2013-12-30,19.909286,19.804285,20.003214,19.725714,253629600,1841.07,11.886,2.649,3.475,10.756,34.119,0.297
166,2013-12-31,19.791786,20.036428,20.045713,19.785713,223084400,1848.36,14.114,3.058,4.053,8.285,24.336,0.521
167,2014-01-02,19.845715,19.754642,19.893929,19.715,234684800,1831.98,14.114,3.058,4.053,8.285,24.336,0.521
168,2014-01-03,19.745001,19.320715,19.775,19.301071,392467600,1831.37,14.114,3.058,4.053,8.285,24.336,0.521
169,2014-01-06,19.194643,19.426071,19.52857,19.057142,412610800,1826.77,14.114,3.058,4.053,8.285,24.336,0.521
170,2014-01-07,19.440001,19.287144,19.498571,19.21143,317209200,1837.88,14.114,3.058,4.053,8.285,24.336,0.521
171,2014-01-08,19.243214,19.409286,19.484285,19.23893,258529600,1837.49,14.114,3.058,4.053,8.285,24.336,0.521
172,2014-01-09,19.52857,19.161428,19.530714,19.119642,279148800,1838.13,14.114,3.058,4.053,8.285,24.336,0.521
173,2014-01-10,19.279642,19.033571,19.314285,18.968214,304976000,1842.37,14.114,3.058,4.053,8.285,24.336,0.521
174,2014-01-13,18.925358,19.133215,19.375,18.924286,378492800,1819.2,14.114,3.058,4.053,8.285,24.336,0.521
175,2014-01-14,19.222143,19.513929,19.526072,19.202143,332561600,1838.88,14.114,3.058,4.053,8.285,24.336,0.521
176,2014-01-15,19.768572,19.905714,20.007143,19.702143,391638800,1848.38,14.114,3.058,4.053,8.285,24.336,0.521
177,2014-01-16,19.817858,19.794643,19.887501,19.702856,229278000,1845.89,14.114,3.058,4.053,8.285,24.336,0.521
178,2014-01-17,19.695715,19.309643,19.716785,19.282143,426739600,1838.7,14.114,3.058,4.053,8.285,24.336,0.521
179,2014-01-21,19.321072,19.609644,19.645357,19.300714,328526800,1843.8,14.114,3.058,4.053,8.285,24.336,0.521
180,2014-01-22,19.675358,19.696787,19.903214,19.564644,379985200,1844.86,14.114,3.058,4.053,8.285,24.336,0.521
181,2014-01-23,19.640715,19.863571,19.875,19.4575,403239200,1828.46,14.114,3.058,4.053,8.285,24.336,0.521
182,2014-01-24,19.785713,19.502501,19.843571,19.455357,429354800,1790.29,14.114,3.058,4.053,8.285,24.336,0.521
183,2014-01-27,19.645357,19.660713,19.814285,19.491072,554878800,1781.56,14.114,3.058,4.053,8.285,24.336,0.521
184,2014-01-28,18.17,18.089287,18.392857,17.93107,1065523200,1792.5,14.114,3.058,4.053,8.285,24.336,0.521
185,2014-01-29,17.998215,17.883928,18.120358,17.807858,502810000,1774.2,14.114,3.058,4.053,8.285,24.336,0.521
